{'stateEstimate.z': -0.14827297627925873, 'stateEstimate.y': 2.857923984527588, 'stateEstimate.x': 1.174814224243164}
{'stateEstimate.z': -0.14680054783821106, 'stateEstimate.y': 2.8581855297088623, 'stateEstimate.x': 1.1760221719741821}
{'stateEstimate.z': -0.1475759595632553, 'stateEstimate.y': 2.861806631088257, 'stateEstimate.x': 1.1722989082336426}
{'stateEstimate.z': -0.14614278078079224, 'stateEstimate.y': 2.860574245452881, 'stateEstimate.x': 1.1701929569244385}
{'stateEstimate.z': -0.14676225185394287, 'stateEstimate.y': 2.861159324645996, 'stateEstimate.x': 1.172568678855896}
{'stateEstimate.z': -0.14559775590896606, 'stateEstimate.y': 2.857604742050171, 'stateEstimate.x': 1.1702070236206055}
{'stateEstimate.z': -0.14616693556308746, 'stateEstimate.y': 2.856964111328125, 'stateEstimate.x': 1.1733039617538452}
{'stateEstimate.z': -0.14487500488758087, 'stateEstimate.y': 2.8563873767852783, 'stateEstimate.x': 1.171708583831787}
{'stateEstimate.z': -0.14655160903930664, 'stateEstimate.y': 2.8571395874023438, 'stateEstimate.x': 1.1751708984375}
{'stateEstimate.z': -0.14679007232189178, 'stateEstimate.y': 2.857616424560547, 'stateEstimate.x': 1.174757719039917}
{'stateEstimate.z': -0.1446278840303421, 'stateEstimate.y': 2.8554847240448, 'stateEstimate.x': 1.1723705530166626}
{'stateEstimate.z': -0.14655645191669464, 'stateEstimate.y': 2.855659246444702, 'stateEstimate.x': 1.1724331378936768}
{'stateEstimate.z': -0.14479157328605652, 'stateEstimate.y': 2.8532536029815674, 'stateEstimate.x': 1.1703535318374634}
{'stateEstimate.z': -0.14582079648971558, 'stateEstimate.y': 2.853771924972534, 'stateEstimate.x': 1.172712802886963}
{'stateEstimate.z': -0.14494745433330536, 'stateEstimate.y': 2.852710247039795, 'stateEstimate.x': 1.1723872423171997}
{'stateEstimate.z': -0.146093487739563, 'stateEstimate.y': 2.853111982345581, 'stateEstimate.x': 1.1751090288162231}
{'stateEstimate.z': -0.14540374279022217, 'stateEstimate.y': 2.8511879444122314, 'stateEstimate.x': 1.1719213724136353}
{'stateEstimate.z': -0.14475597441196442, 'stateEstimate.y': 2.851449489593506, 'stateEstimate.x': 1.1694042682647705}
{'stateEstimate.z': -0.14561891555786133, 'stateEstimate.y': 2.854429006576538, 'stateEstimate.x': 1.171258807182312}
{'stateEstimate.z': -0.1440190225839615, 'stateEstimate.y': 2.853261947631836, 'stateEstimate.x': 1.170668125152588}
{'stateEstimate.z': -0.14434576034545898, 'stateEstimate.y': 2.8535282611846924, 'stateEstimate.x': 1.1727454662322998}
{'stateEstimate.z': -0.14320822060108185, 'stateEstimate.y': 2.852403402328491, 'stateEstimate.x': 1.1729235649108887}
{'stateEstimate.z': -0.14449407160282135, 'stateEstimate.y': 2.8531596660614014, 'stateEstimate.x': 1.1757477521896362}
{'stateEstimate.z': -0.14503522217273712, 'stateEstimate.y': 2.8535144329071045, 'stateEstimate.x': 1.1741715669631958}
{'stateEstimate.z': -0.1437709927558899, 'stateEstimate.y': 2.851233959197998, 'stateEstimate.x': 1.1746714115142822}
{'stateEstimate.z': -0.14420662820339203, 'stateEstimate.y': 2.854948043823242, 'stateEstimate.x': 1.1703706979751587}
{'stateEstimate.z': -0.14318357408046722, 'stateEstimate.y': 2.855238914489746, 'stateEstimate.x': 1.1736867427825928}
